Condition,T1DiabetesGranada,DiaTrend,ReplaceBG
Age · Jittering,-0.7%,-3.1%,-0.7%
Age · Oversampling,-0.8%,-2.5%,-0.0%
Age · PAUndersampling,+0.8%,-7.5%,-0.2%
Age · SMOTE,-0.6%,-1.7%,-0.0%
Age · Undersampling,-0.3%,-6.1%,-0.3%
Age · Tomek Links,+0.3%,+0.7%,+0.4%
Age · Undersampling + Oversampling,-0.7%,-2.2%,+0.5%
Age · Undersampling + SMOTE,-0.2%,-2.1%,+0.1%
Age · balanced_age_smote_tomek,-0.3%,-1.8%,-0.1%
Age · Oversampling + Tomek Links,-0.3%,-0.8%,+0.3%
Sex · Jittering,-0.4%,-0.5%,+0.4%
Sex · Oversampling,-0.4%,+0.1%,+0.5%
Sex · PAUndersampling,-0.4%,-0.7%,+0.1%
Sex · SMOTE,+0.0%,+0.2%,-0.2%
Sex · Undersampling,-0.4%,-0.1%,+0.1%
Sex · Tomek Links,+0.1%,+0.0%,-0.2%
Sex · Undersampling + Oversampling,-0.7%,+0.1%,+0.1%
Sex · Undersampling + SMOTE,-0.7%,-0.3%,+0.0%
Sex · balanced_sex_smote_tomek,-0.5%,+0.1%,+0.6%
Sex · Oversampling + Tomek Links,-0.0%,-0.1%,+0.5%
